# run_id,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,cost
0.000000,1.483019,-1.227451,1.839788,-1.554647,-1.845904,1.869254,0.429166,-0.862710,1.748678,-1.762228,-1.307359,-1.073372,2.174540,-0.236776,-11.330000
0.000000,1.549446,-1.159649,1.517683,-1.790926,-1.674757,1.869077,0.339260,-0.936839,1.667529,-2.030707,-1.384928,-1.032096,2.015489,-0.326985,-11.000000
0.000000,1.521981,-1.126800,1.575164,-1.833296,-1.816329,1.841158,0.289516,-0.874131,1.557647,-1.867187,-1.419913,-1.071626,2.022704,-0.278899,-11.370000
0.000000,1.566411,-1.190993,1.623245,-1.803058,-1.825358,1.815899,0.277820,-0.857453,1.538819,-1.908263,-1.413611,-0.811982,2.025853,-0.341184,-11.100000
0.000000,1.538092,-1.141252,1.592011,-1.809368,-1.797954,1.890007,0.374877,-0.913321,1.569168,-1.889392,-1.530247,-1.003688,2.052081,-0.288944,-11.330000
0.000000,1.576688,-1.147704,1.653592,-1.800941,-1.819741,1.871127,0.381541,-0.958120,1.599910,-1.847210,-1.446838,-1.024269,1.811384,-0.337426,-11.150000
0.000000,1.544398,-1.102063,1.622241,-1.771139,-1.895844,1.878632,0.393372,-0.951772,1.594388,-1.897377,-1.448004,-1.025771,1.802625,-0.381838,-11.250000
0.000000,1.592161,-1.225682,1.780358,-1.739976,-1.775042,1.883969,0.454384,-1.002587,1.678146,-1.750405,-1.389599,-1.021009,1.875712,-0.273938,-11.200000
0.000000,1.554761,-1.129361,1.633190,-1.829035,-1.841159,1.860664,0.352201,-0.957004,1.698041,-1.822484,-1.473768,-0.995849,1.804263,-0.318787,-11.200000
0.000000,1.594724,-1.053160,1.650386,-1.829416,-1.707384,1.814135,0.376586,-1.059162,1.535780,-1.760042,-1.459116,-1.009728,1.843064,-0.452455,-11.290000
0.000000,1.504749,-1.205496,1.591754,-1.785087,-1.808496,1.864299,0.404335,-0.965061,1.582728,-1.808738,-1.442942,-1.012041,1.793734,-0.343922,-11.190000
